Date,open,high,low,adj_close
2016-07-19,225.0,229.1,224.75,225.26
2016-07-20,226.47,229.8,225.0,228.36
2016-07-21,226.0,227.847,219.1,220.5
2016-07-22,221.99,224.5,218.88,222.27
2016-07-25,222.27,231.39,221.3715,230.01
2016-07-26,227.69,230.0,225.3,229.51
2016-07-27,229.34,233.36,226.92,228.49
2016-07-28,227.95,230.76,226.6,230.61
2016-07-29,230.7,235.28,230.24,234.79
2016-08-01,235.5,236.63,229.38,230.01
2016-08-02,229.6,229.87,221.4,227.2
2016-08-03,227.37,229.699,224.21,225.79
2016-08-04,225.69,230.86,222.05,230.61
2016-08-05,230.0,232.0,227.4,230.03
2016-08-08,228.0,229.6,226.09,226.16
2016-08-09,226.82,231.5375,226.65,229.08
2016-08-10,228.24,229.87,224.62,225.65
2016-08-11,226.17,227.57,223.41,224.91
2016-08-12,225.41,226.65,224.04,225.61
2016-08-15,226.02,229.5,224.93,225.59
2016-08-16,225.49,227.19,223.4101,223.61
2016-08-17,224.33,224.83,222.8,223.24
2016-08-18,223.82,225.66,222.29,223.51
2016-08-19,223.54,225.169,222.53,225.0
2016-08-22,224.17,225.11,222.68,222.93
2016-08-23,224.32,228.49,222.8,224.84
2016-08-24,227.05,227.15,222.22,222.62
2016-08-25,223.11,223.8,220.77,220.96
2016-08-26,222.14,222.855,218.82,219.99
2016-08-29,220.15,220.4,215.0,215.2
2016-08-30,216.11,216.11,210.52,211.34
2016-08-31,210.05,212.6,208.65,212.01
2016-09-01,209.01,211.0999,200.5,200.77
2016-09-02,202.33,203.2,196.2,197.78
2016-09-06,199.02,203.25,199.0,202.83
2016-09-07,205.5,206.4968,200.71,201.71
2016-09-08,199.55,199.89,196.36,197.36
2016-09-09,199.09,199.92,193.7,194.47
2016-09-12,195.0,201.369,194.1,198.3
2016-09-13,197.06,198.49,193.45,196.05
2016-09-14,195.75,197.9248,194.8562,196.41
2016-09-15,196.49,202.5193,196.4,200.42
2016-09-16,200.42,205.7,199.0,205.4
2016-09-19,207.0,209.43,205.0,206.34
2016-09-20,206.85,207.75,203.91,204.64
2016-09-21,206.37,207.0,201.56,205.22
2016-09-22,206.4,207.28,203.0,206.43
2016-09-23,205.99,210.18,205.67,207.45
2016-09-26,206.5,211.0,206.5,208.99
2016-09-27,209.65,209.9818,204.6093,205.81
2016-09-28,207.51,208.25,205.26,206.27
2016-09-29,205.6,207.33,200.58,200.7
2016-09-30,202.21,204.98,199.55,204.03
2016-10-03,212.3,215.6688,208.25,213.7
2016-10-04,213.1,213.32,208.82,211.41
2016-10-05,212.24,213.15,208.12,208.46
2016-10-06,202.46,204.2099,200.21,201.0
2016-10-07,201.0,201.32,195.8,196.61
2016-10-10,201.35,204.14,199.66,200.95
2016-10-11,201.85,202.2,198.31,200.1
2016-10-12,200.95,203.88,200.42,201.51
2016-10-13,200.5,200.895,197.05,200.24
2016-10-14,200.66,201.43,196.3,196.51
2016-10-17,197.05,198.39,192.0,193.96
2016-10-18,195.99,199.47,193.26,199.1
2016-10-19,199.74,206.66,198.06,203.56
2016-10-20,202.12,203.0,197.05,199.1
2016-10-21,198.6,201.57,197.41,200.09
2016-10-24,201.0,203.9452,200.25,202.76
2016-10-25,202.9,204.69,201.2,202.34
2016-10-26,201.5,203.19,200.1,202.24
2016-10-27,211.11,213.7,201.65,204.01
2016-10-28,204.09,205.32,199.83,199.97
2016-10-31,202.49,202.49,195.81,197.73
2016-11-01,198.4,198.5,188.105,190.79
2016-11-02,190.05,192.6951,187.505,188.02
2016-11-03,189.02,191.47,187.0401,187.42
2016-11-04,188.09,193.46,185.96,190.56
2016-11-07,193.83,194.29,190.05,193.21
2016-11-08,193.79,197.49,191.26,194.94
2016-11-09,186.94,192.0,183.95,190.06
2016-11-10,191.25,191.61,180.42,185.35
2016-11-11,184.24,188.88,183.0,188.56
2016-11-14,188.0,188.25,178.19,181.45
2016-11-15,182.78,186.43,182.05,183.91
2016-11-16,182.65,184.73,181.21,183.93
2016-11-17,183.35,189.49,182.1101,188.66
2016-11-18,190.53,193.0,185.0,185.02
2016-11-21,185.04,188.89,184.41,184.52
2016-11-22,185.6,191.47,183.71,191.17
2016-11-23,190.6,195.644,189.0,193.14
2016-11-25,194.39,197.2372,193.64,196.65
2016-11-28,195.48,199.35,194.55,196.12
2016-11-29,195.56,196.73,189.5,189.57
2016-11-30,190.92,191.89,187.5,189.4
2016-12-01,188.5,188.53,181.0,181.88
2016-12-02,182.9,184.88,180.0,181.47
2016-12-05,182.51,188.89,182.51,186.8
2016-12-06,186.49,186.58,182.6825,185.85
2016-12-07,186.15,193.4,185.0,193.15
2016-12-08,192.01,192.5,189.54,192.29
2016-12-09,190.87,193.836,190.81,192.18
2016-12-12,192.5,194.42,191.04,192.43
2016-12-13,193.18,201.28,193.0,198.15
2016-12-14,198.59,203.0,196.76,198.69
2016-12-15,198.49,200.74,197.39,197.58
2016-12-16,198.5,202.59,197.6,202.49
2016-12-19,202.49,204.45,199.84,202.73
2016-12-20,203.05,209.0,202.5,208.79
2016-12-21,208.45,212.23,207.41,207.7
2016-12-22,208.24,209.99,206.5,208.45
2016-12-23,208.0,213.45,207.71,213.34
2016-12-27,215.0,222.25,214.42,219.53
2016-12-28,221.5,223.8,217.2,219.74
2016-12-29,218.37,219.2,214.1225,214.68
2016-12-30,216.3,217.5,211.68,213.69
2017-01-03,215.0,220.33,210.96,216.99
2017-01-04,214.6,228.0,214.31,226.99
2017-01-05,226.5,227.48,221.95,226.75
2017-01-06,226.9,230.31,225.45,229.01
2017-01-09,228.88,231.92,228.0,231.28
2017-01-10,232.0,232.0,226.89,229.87
2017-01-11,229.07,229.98,226.68,229.73
2017-01-12,229.06,230.7,225.58,229.59
2017-01-13,230.1,237.85,229.59,237.75
2017-01-17,236.945,239.96,234.37,235.58
2017-01-18,236.65,239.71,235.58,238.36
2017-01-19,246.6,248.68,240.75,243.76
2017-01-20,245.46,246.0,243.01,244.73
2017-01-23,245.65,250.8899,245.5,248.92
2017-01-24,250.0,254.8,249.65,254.61
2017-01-25,257.39,258.46,251.8,254.47
2017-01-26,254.4,255.74,250.75,252.51
2017-01-27,251.38,253.0,248.52,252.95
2017-01-30,252.54,255.2899,247.1,250.63
2017-01-31,248.98,255.89,247.7,251.93
2017-02-01,253.04,253.2,249.05,249.24
2017-02-02,248.49,252.42,247.71,251.55
2017-02-03,251.91,252.179,249.68,251.33
2017-02-06,250.8,257.82,250.63,257.77
2017-02-07,258.19,260.0,256.42,257.48
2017-02-08,257.23,263.36,256.2,262.08
2017-02-09,266.21,271.18,266.15,269.2
2017-02-10,269.79,270.95,266.11,268.94
2017-02-13,270.7,280.7899,270.51,280.6
2017-02-14,278.87,287.39,278.61,280.98
2017-02-15,280.0,282.24,276.44,279.76
2017-02-16,277.39,280.0,268.5,268.95
2017-02-17,265.8,272.89,264.15,272.23
2017-02-21,275.31,281.4,274.01,277.39
2017-02-22,280.37,283.45,272.6,273.51
2017-02-23,264.6,264.66,255.56,255.99
2017-02-24,252.66,258.25,250.2,257.0
2017-02-27,248.35,248.36,242.01,246.23
2017-02-28,244.19,251.0,243.9,249.99
2017-03-01,254.01,254.85,249.11,250.02
2017-03-02,249.74,253.28,248.27,250.48
2017-03-03,250.74,251.9,249.0,251.57
2017-03-06,247.67,251.7,247.51,251.21
2017-03-07,252.0,253.89,248.32,248.59
2017-03-08,246.92,250.07,245.32,246.87
2017-03-09,247.63,248.66,243.0,244.9
2017-03-10,246.2,246.5,243.0,243.69
2017-03-13,244.65,246.85,242.781,246.17
2017-03-14,246.02,258.12,246.02,258.0
2017-03-15,257.0,261.0,254.27,255.73
2017-03-16,262.27,265.75,259.06,262.05
2017-03-17,263.99,265.33,261.2,261.5
2017-03-20,260.6,264.55,258.821,261.92
2017-03-21,262.995,264.8,250.24,250.68
2017-03-22,251.46,255.07,250.51,255.01
2017-03-23,255.35,257.672,253.3,254.78
2017-03-24,255.7,263.89,255.01,263.16
2017-03-27,260.5,270.57,259.75,270.22
2017-03-28,277.01,280.68,275.0,277.45
2017-03-29,278.0,279.6,275.54,277.38
2017-03-30,278.09,282.0,277.21,277.92
2017-03-31,278.73,279.68,276.3197,278.3
2017-04-03,287.21,299.0,284.58,298.52
2017-04-04,297.0,304.81,294.53,303.7
2017-04-05,302.04,304.88,294.2,295.0
2017-04-06,296.88,301.94,294.1,298.7
2017-04-07,297.5,302.69,297.15,302.54
2017-04-10,309.15,313.7299,308.71,312.39
2017-04-11,313.38,313.47,305.5,308.71
2017-04-12,306.34,308.4481,296.32,296.84
2017-04-13,296.61,307.39,295.3,304.0
2017-04-17,302.7,304.0,298.68,301.44
2017-04-18,299.7,300.8399,297.9,300.25
2017-04-19,302.46,306.62,302.11,305.52
2017-04-20,306.51,309.15,300.23,302.51
2017-04-21,302.0,306.4,300.42,305.6
2017-04-24,309.22,310.55,306.0215,308.03
2017-04-25,308.0,313.98,305.86,313.79
2017-04-26,312.37,314.5,309.0,310.17
2017-04-27,311.69,313.09,307.5,308.63
2017-04-28,309.83,314.8,308.0,314.07
2017-05-01,314.88,327.25,314.81,322.83
2017-05-02,324.0,327.6599,316.5601,318.89
2017-05-03,317.67,321.53,310.45,311.02
2017-05-04,307.435,307.77,290.7601,295.46
2017-05-05,298.0,308.55,296.8,308.35
2017-05-08,310.9,313.79,305.82,307.19
2017-05-09,309.38,321.99,309.1,321.26
2017-05-10,321.56,325.5,318.12,325.22
2017-05-11,323.4,326.0,319.6,323.1
2017-05-12,325.48,327.0,321.53,324.81
2017-05-15,318.38,320.2,312.53,315.88
2017-05-16,317.59,320.06,315.14,317.01
2017-05-17,314.39,314.63,305.5,306.11
2017-05-18,307.0,313.94,305.31,313.06
2017-05-19,315.5,316.5,310.2,310.83
2017-05-22,312.8,314.37,306.8,310.35
2017-05-23,310.46,310.73,303.48,303.86
2017-05-24,306.51,311.0,305.4,310.22
2017-05-25,311.02,316.97,307.81,316.83
2017-05-26,317.28,325.49,316.31,325.14
2017-05-30,326.0,336.28,325.76,335.1
2017-05-31,337.69,342.89,335.16,341.01
2017-06-01,344.0,344.88,337.29,340.37
2017-06-02,339.77,342.88,335.93,339.85
2017-06-05,338.5,348.44,334.21,347.32
2017-06-06,344.7,359.4929,339.97,352.85
2017-06-07,356.34,360.5,355.14,359.65
2017-06-08,363.75,371.9,360.22,370.0
2017-06-09,374.42,376.87,354.8,357.32
2017-06-12,357.99,364.5,350.62,359.01
2017-06-13,367.62,376.0,366.61,375.95
2017-06-14,381.14,384.25,376.31,380.66
2017-06-15,372.5,375.46,366.49,375.34
2017-06-16,377.975,378.01,370.1,371.4
2017-06-19,375.0,376.7,367.8,369.8
2017-06-20,376.67,378.88,369.73,372.24
2017-06-21,374.35,376.99,368.02,376.4
2017-06-22,377.99,385.0,373.57,382.61
2017-06-23,382.45,386.99,379.345,383.45
2017-06-26,386.69,386.95,373.1,377.49
2017-06-27,376.4,376.4,362.02,362.37
2017-06-28,366.68,371.74,362.52,371.24
2017-06-29,370.61,371.0,354.1,360.75
2017-06-30,363.8,366.7674,359.6187,361.61
2017-07-03,370.24,371.35,351.5,352.62
2017-07-05,347.12,347.24,326.33,327.09
2017-07-06,317.26,320.7899,306.3,308.83
2017-07-07,313.5,317.0,307.38,313.22
2017-07-10,312.9,317.94,303.13,316.05
2017-07-11,316.0,327.28,314.3,327.22
2017-07-12,330.4,333.1,324.5,329.52
2017-07-13,330.11,331.6,319.97,323.41
2017-07-14,323.19,328.42,321.22,327.78
2017-07-17,325.54,327.1,313.45,319.57
2017-07-18,317.5,329.13,315.66,328.24
2017-07-19,328.23,331.65,323.2193,325.26
2017-07-20,326.9,330.22,324.2,329.92
2017-07-21,329.46,331.2575,325.8,328.4
2017-07-24,330.23,343.399,330.01,342.52
2017-07-25,345.0,345.6,334.15,339.6
2017-07-26,340.36,345.5,338.12,343.85
2017-07-27,346.0,347.5,326.29,334.46
2017-07-28,336.89,339.6,332.51,335.07
2017-07-31,335.5,341.49,321.04,323.47
2017-08-01,323.0,324.45,316.13,319.57
2017-08-02,318.94,327.12,311.22,325.89
2017-08-03,345.33,350.0,343.15,347.09
2017-08-04,347.0,357.27,343.3,356.91
2017-08-07,357.35,359.48,352.75,355.17
2017-08-08,357.53,368.58,357.4,365.22
2017-08-09,361.0,370.0,358.95,363.53
2017-08-10,361.6,366.6504,354.66,355.4
2017-08-11,356.97,361.26,353.62,357.87
2017-08-14,364.63,367.66,362.6,363.8
2017-08-15,365.2,365.49,359.37,362.33
2017-08-16,363.0,366.5,362.52,362.91
2017-08-17,361.21,363.3,351.59,351.92
2017-08-18,352.91,354.0,345.8,347.46
2017-08-21,345.82,345.82,331.85,337.86
2017-08-22,341.13,342.24,337.3725,341.35
2017-08-23,338.99,353.49,338.3041,352.77
2017-08-24,352.52,356.66,349.74,352.93
2017-08-25,354.24,355.69,347.3,348.05
2017-08-28,347.28,347.35,339.72,345.66
2017-08-29,339.48,349.05,338.75,347.36
2017-08-30,349.67,353.47,347.0,353.18
2017-08-31,353.55,358.44,352.82,355.9
2017-09-01,356.12,357.59,353.6902,355.4
2017-09-05,353.8,355.49,345.89,349.59
2017-09-06,349.5,350.979,341.56,344.53
2017-09-07,345.98,352.48,343.45,350.61
2017-09-08,348.99,349.78,342.3,343.4
2017-09-11,351.35,363.71,350.0,363.69
2017-09-12,364.49,368.76,360.4,362.75
2017-09-13,363.82,368.07,359.59,366.23
2017-09-14,364.33,377.96,362.63,377.64
2017-09-15,374.51,380.0,372.7,379.81
2017-09-18,380.25,389.61,377.68,385.0
2017-09-19,380.0,382.39,373.57,375.1
2017-09-20,373.0,378.249,371.07,373.91
2017-09-21,374.9,376.83,364.51,366.48
2017-09-22,366.49,369.8999,350.88,351.09
2017-09-25,353.15,357.469,342.88,344.99
2017-09-26,350.93,351.24,340.9,345.25
2017-09-27,349.9,351.489,340.5,340.97
2017-09-28,339.88,342.75,335.4,339.6
2017-09-29,341.86,344.68,338.601,341.1
2017-10-02,342.52,343.7,335.51,341.53
2017-10-03,335.9,348.55,331.28,348.14
2017-10-04,351.25,358.62,349.6,355.01
2017-10-05,356.0,357.435,351.35,355.33
2017-10-06,353.1,360.0992,352.25,356.88
2017-10-09,349.65,351.75,342.67,342.94
2017-10-10,346.8,355.63,345.5305,355.59
2017-10-11,353.89,357.6,351.15,354.6
2017-10-12,352.95,359.78,352.64,355.68
2017-10-13,356.98,358.49,353.68,355.57
2017-10-16,353.76,354.48,347.16,350.6
2017-10-17,350.91,356.22,350.07,355.75
2017-10-18,355.97,363.0,354.13,359.65
2017-10-19,355.56,357.1465,348.2,351.81
2017-10-20,352.69,354.55,344.34,345.1
2017-10-23,349.88,349.95,336.25,337.02
2017-10-24,338.8,342.8,336.16,337.34
2017-10-25,336.7,337.5,323.56,325.84
2017-10-26,327.78,330.23,323.2,326.17
2017-10-27,319.75,324.59,316.66,320.87
2017-10-30,319.18,323.78,317.25,320.08
2017-10-31,320.23,331.95,320.18,331.53
2017-11-01,332.25,332.6089,320.26,321.08
2017-11-02,300.13,308.69,292.63,299.26
2017-11-03,299.5,306.25,295.13,306.09
2017-11-06,307.0,307.5,299.01,302.78
2017-11-07,301.02,306.5,300.03,306.05
2017-11-08,305.5,306.89,301.3001,304.39
2017-11-09,302.5,304.46,296.3,302.99
2017-11-10,302.5,308.36,301.85,302.99
2017-11-13,300.13,316.8,299.11,315.4
2017-11-14,315.0,316.35,306.9,308.7
2017-11-15,306.01,312.49,301.5,311.3
2017-11-16,313.99,318.14,311.3,312.5
2017-11-17,325.67,326.67,313.15,315.05
2017-11-20,313.79,315.5,304.75,308.74
2017-11-21,310.86,318.23,308.71,317.81
2017-11-22,316.77,317.42,311.84,312.6
2017-11-24,313.79,316.41,311.0,315.55
2017-11-27,313.25,317.34,309.51,316.81
2017-11-28,316.37,320.0,313.92,317.55
2017-11-29,317.3,318.0,301.23,307.54
2017-11-30,308.56,310.7,304.54,308.85
2017-12-01,305.44,310.32,305.05,306.53
2017-12-04,306.5,308.265,300.61,305.2
2017-12-05,302.0,308.0,301.0,303.7
2017-12-06,300.1,313.39,300.0,313.26
2017-12-07,312.0,318.6341,311.05,311.24
2017-12-08,314.6,316.98,311.26,315.13
2017-12-11,314.63,329.01,313.75,328.91
2017-12-12,330.45,341.44,330.03,341.03
2017-12-13,340.93,344.22,336.5,339.03
2017-12-14,341.01,347.44,336.9,337.89
2017-12-15,342.04,343.9,335.76,343.45
2017-12-18,344.9,346.73,337.58,338.87
2017-12-19,340.26,341.4925,330.3,331.1
2017-12-20,332.69,333.1,325.04,328.98
2017-12-21,329.59,333.74,327.21,331.66
2017-12-22,329.51,330.9214,324.82,325.2
2017-12-26,323.83,323.94,316.58,317.29
2017-12-27,316.0,317.68,310.75,311.64
2017-12-28,311.75,315.82,309.54,315.36
2017-12-29,316.18,316.41,310.0,311.35
2018-01-02,312.0,322.1099,311.0,320.53
2018-01-03,321.0,325.25,315.55,317.25
2018-01-04,312.87,318.55,305.68,314.62
2018-01-05,316.62,317.24,312.0,316.58
2018-01-08,316.0,337.0199,315.5,336.41
2018-01-09,335.16,338.8,327.405,333.69
2018-01-10,332.2,337.0,330.0,334.8
2018-01-11,335.24,344.8099,333.26,337.95
2018-01-12,338.63,340.41,333.67,336.22
2018-01-16,337.54,345.0,334.8,340.06
2018-01-17,340.47,349.0,339.75,347.16
2018-01-18,345.67,352.3,343.74,344.57
2018-01-19,345.0,350.5899,342.6,350.02
2018-01-22,349.4,357.83,349.2,351.56
2018-01-23,360.0,360.5,351.0,352.79
2018-01-24,354.58,354.75,343.52,345.7404
2018-01-25,348.27,349.2,336.4,337.64
2018-01-26,341.5,344.0,335.71,342.85
2018-01-29,339.85,350.85,338.28,349.53
2018-01-30,345.14,348.27,342.17,345.82
2018-01-31,347.51,356.19,345.19,354.42
2018-02-01,351.0,359.66,348.63,349.25
2018-02-02,348.44,351.95,340.51,343.79
2018-02-05,337.97,344.47,333.0,333.25
2018-02-06,325.21,336.22,323.5,333.63
2018-02-07,338.99,346.0,335.66,345.0
2018-02-08,343.31,348.62,314.6,315.23
2018-02-09,319.93,320.9845,294.76,310.42
2018-02-12,316.13,318.08,306.25,315.73
2018-02-13,315.02,324.19,312.5105,323.66
2018-02-14,320.84,326.17,318.52,322.31
2018-02-15,324.5,334.12,322.4,334.065
2018-02-16,332.5,343.12,331.64,335.49
2018-02-20,334.47,340.84,331.5,334.77
2018-02-21,336.03,339.6929,333.17,333.3
2018-02-22,335.53,347.44,334.7501,346.17
2018-02-23,347.83,354.99,347.1,352.05
2018-02-26,353.5,359.0,352.355,357.42
2018-02-27,356.25,359.99,350.01,350.99
2018-02-28,352.57,355.24,342.22,343.06
2018-03-01,345.01,348.67,330.07,330.93
2018-03-02,326.98,335.22,322.97,335.12
2018-03-05,332.39,337.75,329.2929,333.35
2018-03-06,333.75,336.37,327.03,328.2
2018-03-07,325.44,332.5,321.74,332.3
2018-03-08,332.86,333.3,326.274,329.1
2018-03-09,324.1,328.49,322.37,327.17
2018-03-12,328.61,347.21,326.5,345.51
2018-03-13,344.92,345.12,336.2635,341.84
2018-03-14,336.76,339.81,323.93,326.63
2018-03-15,329.38,332.85,321.1,325.6
2018-03-16,325.96,327.4,319.07,321.35
2018-03-19,316.5,320.75,309.67,313.56
2018-03-20,314.87,316.25,308.76,310.55
2018-03-21,310.25,322.44,310.19,316.53
2018-03-22,313.89,318.82,308.18,309.1
2018-03-23,311.25,311.61,300.45,301.54
2018-03-26,307.34,307.59,291.36,304.18
2018-03-27,304.0,304.27,277.18,279.18
2018-03-28,264.58,268.68,252.1,257.78
2018-03-29,256.49,270.9599,248.21,266.13
2018-04-02,256.26,260.3318,244.5901,252.48
2018-04-03,269.82,273.35,254.49,267.53
2018-04-04,252.78,288.37,252.0,286.94
2018-04-05,289.34,306.26,288.2,305.72
2018-04-06,301.0,309.28,295.5,299.3
2018-04-09,300.37,309.5,289.21,289.63
2018-04-10,298.63,307.1,293.68,304.7
2018-04-11,300.7403,308.98,299.66,300.93
2018-04-12,302.32,303.95,293.68,294.08
2018-04-13,303.6,303.9499,295.98,300.34
2018-04-16,299.0,299.66,289.01,291.21
2018-04-17,288.87,292.17,282.51,287.69
2018-04-18,291.08,300.24,288.16,293.35
2018-04-19,291.08,301.01,288.55,300.08
2018-04-20,295.17,299.98,289.75,290.24
2018-04-23,291.29,291.62,282.33,283.37
2018-04-24,285.0,287.09,278.46,283.46
2018-04-25,283.5,285.16,277.25,280.69
2018-04-26,278.75,285.79,276.5,285.48
2018-04-27,285.37,294.47,283.83,294.075
2018-04-30,293.61,298.73,292.5,293.9
2018-05-01,293.51,300.82,293.22,299.92
2018-05-02,298.68,301.15,298.68,301.15
2018-05-03,278.8,284.45,278.8,284.45
2018-05-04,283.0,296.86,279.52,294.09
2018-05-07,297.5,305.9588,295.17,302.77
2018-05-08,300.7953,307.75,299.0,301.97
2018-05-09,300.41,307.01,300.05,306.85
2018-05-10,307.4997,312.99,304.1119,305.02
2018-05-11,307.7,308.88,299.08,301.06
2018-05-14,303.32,304.94,291.62,291.97
2018-05-15,285.01,286.96,280.5,284.18
2018-05-16,283.83,288.81,281.56,286.48
2018-05-17,285.9,289.1873,283.97,284.54
2018-05-18,284.65,284.65,274.0,276.82
2018-05-21,281.33,291.49,281.3,284.49
2018-05-22,287.762,288.0,273.422,275.01
2018-05-23,277.76,279.9099,274.0,279.07
2018-05-24,278.4,281.11,274.89,277.85
